Country,Subject_Descriptor,Units,Scale,CountrySeries-specific_Notes,2006,Estimates_Start_After
Seychelles,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12263.25,2009
Sierra Leone,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 2010. For SLE, not from 2010 but 2012 Primary domestic currency: Sierra Leonean leones Data last updated: 03/2012",2707.13,2010
Sierra Leone,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.28,2010
Sierra Leone,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",270.01,2010
Singapore,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005 Primary domestic currency: Singapore dollars Data last updated: 03/2012",227.06,2011
Singapore,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.76,2011
Singapore,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",31762.62,2010
Slovak Republic,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1993 Primary domestic currency: Euros Data last updated: 03/2012",53.43,2011
Slovak Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.35,2011
Slovak Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10366.90,2010
Slovenia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: The Slovene statistical authorities revised the data in September 2005 to make it consistent with the ESA95 (European System of Accounts). National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1995. From 1995. Primary domestic currency: Euros Data last updated: 03/2012",23.48,2011
Slovenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.85,2011
Slovenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",19390.99,2011
Solomon Islands,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. For data prior to 1990, the source is IMF staff estimates. Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices. The data for 2004 to 2006 are provided by the country authorities. For 2007 and onwards, real GDP is estimated by the staff, based on sectoral growth information provided by the Central Bank of Solomon Islands. Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Solomon Islands dollar Data last updated: 03/2012",3.19,2010
Solomon Islands,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.99,2010
Solomon Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",979.15,2009
South Africa,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010. 2010 for overall GDP data. 2009 for demand-side components. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: South African rand Data last updated: 03/2012,1659.12,2010
South Africa,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.60,2010
South Africa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5511.06,2008
Spain,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 GDP valuation: Market prices Base year: 1995 Chain-weighted: Yes, from 1995 Primary domestic currency: Euros Data last updated: 03/2012",668.28,2010
Spain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.08,2010
Spain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",28280.39,2010
Sri Lanka,"Gross domestic product, constant prices",National currency,Billions,Source: CEIC. Central Bank of Sri Lanka Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002. Staff used splicing method for the historical series. Chain-weighted: No Primary domestic currency: Sri Lanka rupees Data last updated: 03/2012,2090.57,2011
Sri Lanka,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.67,2011
Sri Lanka,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1429.94,2011
St. Kitts and Nevis,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 Notes: Data prior to 1990 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. The GDP deflator does nto equal 100 in the base year as the nominal GDP is measured at market prices and real GDP at factor costs. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 03/2012,1.44,2010
St. Kitts and Nevis,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.45,2010
St. Kitts and Nevis,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12365.13,2003
St. Lucia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. In addition, note that real GDP is mreasured at factor cost and Nominal GDP is emasured at market prices. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 03/2012",2.22,2010
St. Lucia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.44,2010
St. Lucia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6076.47,2010
St. Vincent and the Grenadines,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal GDP is measured at market prices and real GDP is measured at factor cost, hence the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 03/2012",1.41,2010
St. Vincent and the Grenadines,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.99,2010
St. Vincent and the Grenadines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5624.34,2001
Sudan,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office. Central Bureau of Statistics. Latest actual data: 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996. Fiscal year and calendar year are the same. Chain-weighted: No Primary domestic currency: Sudanese Pound. Data last updated: 03/2012,78.31,2010
Sudan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.06,2010
Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",970.77,2006
Suriname,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. IMF Staff reports, National Statistical Office, and IMF staff estimates. Latest actual data: 2009. The official series from 1990 onwards are subject to revision due to the existence of a large informal sector. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Suriname dollars Data last updated: 02/2012",0.01,2009
Suriname,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.72,2009
Suriname,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4259.42,2007
Swaziland,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Swaziland emalangeni Data last updated: 03/2012,12.08,2009
Swaziland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.90,2009
Swaziland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2349.51,2008
Sweden,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. In June 2010, the authorities performed a major revision of historical time series data 1993-2009 which involved the introduction of new methods, improved source data and a further adjustment to recommendations from the European Union Latest actual data: 2011 GDP valuation: Market prices Base year: 2010 Chain-weighted: Yes, from 1993 Primary domestic currency: Swedish kronor Data last updated: 04/2012",3216.15,2011
Sweden,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.56,2011
Sweden,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",43790.68,2011
Switzerland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1980 Primary domestic currency: Swiss francs Data last updated: 03/2012",466.75,2011
Switzerland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.63,2011
Switzerland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",52276.34,2009
Syrian Arab Republic,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office. Central Bureau of Statistics. Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Syrian pounds Data last updated: 02/2012,1215.08,2010
Syrian Arab Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.05,2010
Syrian Arab Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1704.60,2010
Taiwan Province of China,"Gross domestic product, constant prices",National currency,Billions,Source: CEIC Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: New Taiwan dollar Data last updated: 03/2012,12243.47,2011
Taiwan Province of China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.44,2011
Taiwan Province of China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",16450.67,2011
Tajikistan,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Tajik somoni Data last updated: 04/2012,0.13,2011
Tajikistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.00,2011
Tajikistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",397.99,2011
Tanzania,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 2001 Chain-weighted: No Primary domestic currency: Tanzania shillings Data last updated: 03/2012,12474.63,2010
Tanzania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.04,2010
Tanzania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",375.18,2006
Thailand,"Gross domestic product, constant prices",National currency,Billions,Source: CEIC Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1988 Chain-weighted: No Primary domestic currency: Thai baht Data last updated: 03/2012,4054.89,2011
Thailand,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.14,2011
Thailand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3296.09,2011
Democratic Republic of Timor-Leste,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance Latest actual data: 2007 National accounts manual used: GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: U.S. dollars Data last updated: 03/2012,0.55,2007
Democratic Republic of Timor-Leste,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.16,2007
Democratic Republic of Timor-Leste,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1115.95,2007
Togo,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,1012.86,2009
Togo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.05,2009
Togo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",349.55,2009
Tonga,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2009 GDP valuation: Market prices Base year: 2001. Calendar year data refer to the average of two fiscal years (July/June). For example, CY2009 is the average of fiscal years 2008/09 and 2009/10. Chain-weighted: No Primary domestic currency: Tongan pa?anga Data last updated: 03/2012",0.74,2009
Tonga,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.51,2009
Tonga,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2980.01,2006
Trinidad and Tobago,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 Notes: Data prior to 1999 is based on interpolation of real GDP series base 1970 and base 1985. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Trinidad and Tobago dollars Data last updated: 03/2012,85.80,2010
Trinidad and Tobago,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.21,2010
Trinidad and Tobago,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14152.47,2010
Tunisia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2009 Primary domestic currency: Tunisian dinars Data last updated: 03/2012",44.24,2010
Tunisia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.65,2010
Tunisia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3394.25,2010
Turkey,"Gross domestic product, constant prices",National currency,Billions,"Source: Haver Analytics. Formally, the Turkish Statistical Institute (TurkStat) Latest actual data: 2010. For quarterly data, latest actual is 2011Q3. National accounts manual used: ESA 1995. Series prior to 1998 were not revised according to ESA 1995. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1998 Chain-weighted: No Primary domestic currency: Turkish lira Data last updated: 04/2012",96.74,2010
Turkey,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.89,2010
Turkey,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",7625.72,2010
Turkmenistan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Turkmenistan authorities and IMF staff estimates and projections. Latest actual data: 2010 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2000 Primary domestic currency: Turkmen manat Data last updated: 03/2012",19.82,2010
Turkmenistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.97,2010
Turkmenistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4191.15,2007
Tuvalu,"Gross domestic product, constant prices",National currency,Billions,Source: PFTAC advisors Latest actual data: 2010 Base year: 2005 Primary domestic currency: Australian Dollar Data last updated: 04/2012,0.03,2010
Tuvalu,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.87,2010
Tuvalu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2006.84,2010
Uganda,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010. 2009/10 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 2000. 1999/2000 Chain-weighted: No Primary domestic currency: Uganda shillings Data last updated: 03/2012,14347.36,2010
Uganda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.79,2010
Uganda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",335.81,2010
Ukraine,"Gross domestic product, constant prices",National currency,Billions,"Source: Haver Analytics. Formally, the State Statistics Committee of Ukraine Latest actual data: 2010. For quarterly data, latest actual is 2011Q3. National accounts manual used: ESA 1995. Also, SNA1993. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2005 Primary domestic currency: Ukrainian hryvnias Data last updated: 03/2012",686.74,2010
Ukraine,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.30,2010
Ukraine,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2304.92,2010
United Arab Emirates,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: U.A.E. dirhams Data last updated: 03/2012,584.52,2010
United Arab Emirates,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.85,2010
United Arab Emirates,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",52519.71,2009
United Kingdom,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008 Chain-weighted: Yes, from 1980 Primary domestic currency: Sterling pounds Data last updated: 03/2012",1401.29,2011
United Kingdom,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.61,2011
United Kingdom,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",40406.57,2007
United States,"Gross domestic product, constant prices",National currency,Billions,"Source: Haver Analytics Latest actual data: 2011 GDP valuation: Real Gross Domestic Product determined by chained Fisher quantity growth rates. Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1980 Primary domestic currency: U.S. dollars Data last updated: 03/2012",12958.48,2011
United States,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.66,2011
United States,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",44750.29,2011
Uruguay,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Uruguayan pesos Data last updated: 04/2012,442.44,2010
Uruguay,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.10,2010
Uruguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5909.69,2005
Uzbekistan,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Uzbek sum Data last updated: 03/2012,510.33,2011
Uzbekistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.50,2011
Uzbekistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",636.29,2010
Vanuatu,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Vanuatu vatu Data last updated: 03/2012,48.43,2009
Vanuatu,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.36,2009
Vanuatu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2001.51,2009
Venezuela,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1997 Chain-weighted: No Primary domestic currency: Venezuelan bolívares Data last updated: 03/2012,51.12,2010
Venezuela,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.87,2010
Venezuela,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6796.05,2010
Vietnam,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices. Production-based measure Start/end months of reporting year: January/December Base year: 1994 Chain-weighted: No Primary domestic currency: Vietnamese dong Data last updated: 03/2012,425373.27,2011
Vietnam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.23,2011
Vietnam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",724.05,2007
Republic of Yemen,"Gross domestic product, constant prices",National currency,Billions,Source: IMF Staff Latest actual data: 2008 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Yemeni rials Data last updated: 04/2012,325.47,2008
Republic of Yemen,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.17,2008
Republic of Yemen,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",881.65,2008
Zambia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Base year: 1994 Chain-weighted: No Primary domestic currency: Zambian kwacha Data last updated: 03/2012,13600.68,2011
Zambia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.23,2011
Zambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",890.44,2010
Zimbabwe,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009. Data before 2009 are unreliable Notes: The Zimbabwe dollar ceased circulating in early 2009. Data are based on staff estimates of price and exchange rate developments in U.S. dollars. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: No Primary domestic currency: U.S. dollars Data last updated: 03/2012,7.02,2009
Zimbabwe,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.48,2009
Zimbabwe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",442.56,2000
,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2012",,,,,,
